customer_id,segment,price,units_sold,discount_percent,churned,month
CUST_0001,SMB,77.76,15,0.02,0,2025-06
CUST_0002,SMB,120.21,7,0.01,1,2025-12
CUST_0003,SMB,104.84,7,0.0,0,2025-10
CUST_0004,SMB,88.75,11,0.01,0,2025-04
CUST_0005,Mid,512.22,18,0.02,0,2025-04
CUST_0006,SMB,118.95,9,0.05,0,2025-03
CUST_0007,Enterprise,2411.27,47,0.04,0,2025-06
CUST_0008,SMB,60.81,23,0.0,0,2025-04
CUST_0009,Mid,399.09,26,0.0,0,2025-12
CUST_0010,Mid,446.19,20,0.0,0,2025-09
CUST_0011,Enterprise,1661.54,64,0.13,0,2025-05
CUST_0012,Enterprise,2465.64,49,0.13,0,2025-12
CUST_0013,SMB,96.45,11,0.0,0,2025-11
CUST_0014,Mid,410.18,25,0.07,0,2025-05
CUST_0015,Mid,496.42,17,0.13,0,2025-03
CUST_0016,SMB,116.44,8,0.0,0,2025-05
CUST_0017,SMB,129.56,6,0.0,0,2025-09
CUST_0018,SMB,89.96,11,0.0,0,2025-11
CUST_0019,SMB,93.45,10,0.0,0,2025-09
CUST_0020,Enterprise,2230.48,48,0.0,0,2025-03
CUST_0021,SMB,86.68,12,0.0,0,2025-01
CUST_0022,SMB,70.83,15,0.04,0,2025-05
CUST_0023,SMB,102.05,9,0.0,0,2025-01
CUST_0024,Mid,500.39,25,0.07,0,2025-06
CUST_0025,SMB,122.86,8,0.04,0,2025-04
CUST_0026,Enterprise,1545.31,59,0.16,0,2025-09
CUST_0027,SMB,134.13,6,0.04,0,2025-07
CUST_0028,SMB,92.69,12,0.0,0,2025-01
CUST_0029,Mid,416.24,31,0.08,0,2025-10
CUST_0030,Enterprise,2198.19,48,0.01,0,2025-12
CUST_0031,Mid,485.31,24,0.06,0,2025-04
CUST_0032,Enterprise,1467.58,70,0.13,0,2025-08
CUST_0033,Mid,585.4,20,0.14,0,2025-02
CUST_0034,SMB,96.71,12,0.09,0,2025-09
CUST_0035,SMB,99.9,9,0.0,0,2025-03
CUST_0036,Mid,388.75,26,0.01,0,2025-07
CUST_0037,SMB,106.32,9,0.0,0,2025-05
CUST_0038,Mid,497.03,26,0.04,0,2025-03
CUST_0039,Mid,498.84,22,0.06,0,2025-05
CUST_0040,Enterprise,1825.55,55,0.12,0,2025-01
CUST_0041,SMB,81.01,13,0.0,0,2025-10
CUST_0042,Enterprise,1125.47,84,0.13,0,2025-06
CUST_0043,SMB,82.9,14,0.0,0,2025-06
CUST_0044,SMB,91.01,11,0.05,0,2025-09
CUST_0045,Mid,381.67,27,0.07,0,2025-03
CUST_0046,SMB,86.26,12,0.0,0,2025-06
CUST_0047,SMB,103.0,10,0.01,0,2025-08
CUST_0048,Mid,311.97,30,0.08,0,2025-04
CUST_0049,SMB,84.69,11,0.02,0,2025-10
CUST_0050,SMB,60.19,24,0.0,0,2025-01
CUST_0051,SMB,93.61,11,0.0,0,2025-05
CUST_0052,Mid,724.48,13,0.0,0,2025-05
CUST_0053,SMB,86.4,12,0.0,0,2025-05
CUST_0054,SMB,87.92,10,0.0,0,2025-01
CUST_0055,SMB,91.6,11,0.01,0,2025-04
